"Year","TCB_mean","TCB_median","TCB_sd","LME","LME_name"
1950,12.0569255945168,10.7127332687378,5.4545662244469,"10","HOTS"
1951,12.4069851645447,10.9457874298096,5.62202145473822,"10","HOTS"
1952,11.4908119847188,10.432599067688,4.77973345206597,"10","HOTS"
1953,11.3878148480209,10.7137145996094,4.54794410652537,"10","HOTS"
1954,11.3608620778506,10.258828163147,4.86135985816305,"10","HOTS"
1955,11.1446554748371,10.3176364898682,4.4554741659573,"10","HOTS"
1956,11.6314122245383,10.6745433807373,4.76466238187979,"10","HOTS"
1957,11.2594535603503,10.5247220993042,4.40529604619648,"10","HOTS"
1958,11.1110961261332,10.4868783950806,4.25669096285463,"10","HOTS"
1959,10.7885624763771,10.3284196853638,4.03122345021205,"10","HOTS"
1960,12.0627915543092,10.923041343689,4.90839496771396,"10","HOTS"
1961,12.0429407420356,11.1438045501709,4.63346782953768,"10","HOTS"
1962,11.714822677344,10.7465305328369,4.61134434240986,"10","HOTS"
1963,11.8279701703799,10.9271240234375,4.63873652032222,"10","HOTS"
1964,11.5937112114777,10.8229999542236,4.50129319017712,"10","HOTS"
1965,11.2236399260773,10.6832313537598,4.2480078175187,"10","HOTS"
1966,11.0869297371061,10.213342666626,4.10178925948787,"10","HOTS"
1967,11.1458831734501,10.0548467636108,4.32781870680112,"10","HOTS"
1968,11.0269333807637,10.1141881942749,4.25457473968165,"10","HOTS"
1969,11.6873374271103,10.9246845245361,4.48854433187791,"10","HOTS"
1970,11.6450998517422,10.5990867614746,4.66019105925867,"10","HOTS"
1971,11.0891524854343,10.4934034347534,4.15211821245369,"10","HOTS"
1972,11.0935493433443,10.1447925567627,4.29935432169883,"10","HOTS"
1973,12.3737297370759,11.0341138839722,5.03266162932844,"10","HOTS"
1974,12.3108413462506,11.3050384521484,5.00520627806245,"10","HOTS"
1975,11.3590797989399,10.4814739227295,4.36709719659829,"10","HOTS"
1976,11.013452686187,10.3118324279785,4.17693073497173,"10","HOTS"
1977,11.3425459839959,10.4266176223755,4.52048483881457,"10","HOTS"
1978,12.8185925922138,11.2013473510742,5.49934349656242,"10","HOTS"
1979,12.0126948656655,10.6016302108765,5.14387349669413,"10","HOTS"
